-4.930	-7.662
-4.857	-5.522
-4.824	-4.831
-4.789	-4.197
-4.752	-3.650
-4.712	-3.158
-4.669	-2.713
-4.625	-2.327
-4.519	-1.655
-4.477	-1.448
-4.434	-1.270
-4.395	-1.129
-4.350	-0.988
-4.308	-0.871
-4.260	-0.759
-4.217	-0.671
-4.169	-0.583
-4.125	-0.515
-4.076	-0.448
-4.026	-0.389
-3.981	-0.343
-3.931	-0.298
-3.887	-0.263
-3.836	-0.228
-3.790	-0.200
-3.739	-0.173
-3.688	-0.149
-3.642	-0.131
-3.590	-0.113
-3.544	-0.098
-3.492	-0.084
-3.445	-0.073
-3.392	-0.062
-3.347	-0.054
-3.295	-0.045
-3.244	-0.039
-3.198	-0.034
-3.146	-0.027
-3.099	-0.024
-3.046	-0.019
-3.000	-0.016
-2.947	-0.013
-2.901	-0.011
-2.848	-0.008
-2.796	-0.006
-2.748	-0.005
-2.696	-0.003
-2.649	-0.002
-2.596	-0.001
-2.549	-0.001
-2.497	0.000
-2.444	0.001
-2.396	0.001
-2.344	0.001
-2.297	0.002
-2.245	0.003
-2.198	0.003
-2.145	0.003
-2.098	0.004
-2.045	0.003
-1.992	0.004
-1.945	0.004
-1.893	0.004
-1.847	0.004
-1.796	0.004
-1.748	0.004
-1.696	0.004
-1.648	0.004
-1.596	0.004
-1.543	0.004
-1.497	0.004
-1.443	0.004
-1.396	0.004
-1.343	0.004
-1.297	0.004
-1.245	0.004
-1.192	0.004
-1.146	0.004
-1.095	0.004
-1.049	0.004
-0.997	0.004
-0.951	0.004
-0.898	0.004
-0.852	0.004
-0.798	0.004
-0.746	0.004
-0.699	0.004
-0.647	0.004
-0.601	0.004
-0.549	0.004
-0.501	0.004
-0.449	0.004
-0.397	0.005
-0.350	0.004
-0.298	0.004
-0.251	0.004
-0.199	0.004
-0.153	0.004
-0.101	0.004
-0.054	0.004
-0.002	0.004
