0.74901690	0.00789357
0.99707197	0.00811042
1.23205933	0.00809910
1.48740233	0.00832735
1.74373688	0.00838030
1.99908057	0.00839583
2.24442980	0.00825605
2.49651654	0.00840828
2.73950985	0.00845650
2.99168701	0.00847090
3.24690495	0.00859561
3.49517525	0.00850676
3.74687326	0.00848993
3.99174381	0.00859578
4.23847814	0.00855242
4.49628969	0.00883734
4.74514677	0.00884432
4.98331984	0.00864517
5.24047931	0.00894774
5.48849848	0.00895108
5.74805732	0.00896293
6.00607706	0.00875616
6.24299743	0.00883814
6.47891116	0.00888792
6.73820431	0.00887971
6.97869072	0.00889248
7.23268239	0.00894352
7.48718938	0.00907455
7.73544991	0.00900830
7.99601687	0.00927378
8.24298029	0.00926748
8.48528865	0.00922836
8.73472635	0.00913766
8.97812668	0.00920141
